Title,Reference Number,DOI,First Author
Open air biocathode enables effective electricity generation with microbial fuel cells,132,10.1021/es0709831,C et al. (2007)
Power generation and electrochemical analysis of biocathode microbial fuel cell using graphite fibre brush as cathode material,133,10.1002/fuce.200900023,Y et al. (2009)
Electrochemical evaluation of Ti/TiO2-polyaniline anodes for microbial fuel cells using hypersaline microbial consortia for synthetic-wastewater treatment,134,No DOI,B et al. (2010)
Microbial communities and electrochemical performance of titanium-based anodic electrodes in a microbial fuel cell,135,10.1128/AEM.02912-09,M et al. (2011)
Enhancing electricity generation of microbial fuel cell for wastewater treatment using nitrogen-doped carbon dots-supported carbon paper anode,136,10.1016/j.jclepro.2019.05.040,G et al. (2019)
Nickel oxide/carbon nanotube/polyaniline nanocomposite as bifunctional anode catalyst for high-performance Shewanella-based dual-chamber microbial fuel cell,137,10.1007/s00449-017-1822-y,N et al. (2017)
"Enzymatic electrosynthesis: An overview on the progress in enzyme-electrodes for the production of electricity, fuels and chemicals",138,No DOI,S et al. (2013)
Metals removal and recovery in bioelectrochemical systems: A review,139,10.1016/j.biortech.2015.06.058,N et al. (2015)
"Isolation, identification, characterization, and evaluation of cadmium removal capacity of Enterobacter species",140,10.1002/jobm.201400157,A et al. (2014)
Enhanced bioremediation of toxic metals and harvesting electricity through sediment microbial fuel cell,141,10.1002/er.3804,A et al. (2017)
Simultaneous reduction of vanadium (V) and chromium (VI) with enhanced energy recovery based on microbial fuel cell technology,142,10.1016/j.jpowsour.2012.01.013,Z et al. (2012)
Enhanced vanadium (V) reduction and bioelectricity generation in microbial fuel cells with biocathode,143,10.1016/j.jpowsour.2017.05.099,Q et al. (2017)
Coupling bioelectricity generation and oil sands tailings treatment using microbial fuel cells,144,10.1016/j.biortech.2013.04.050,J et al. (2013)
Microbial fuel cell driving electrokinetic remediation of toxic metal contaminated soils,145,10.1016/j.jhazmat.2016.06.041,H et al. (2016)
Electricity production from Azo dye wastewater using a microbial fuel cell coupled constructed wetland operating under different operating conditions,146,10.1016/j.bios.2014.12.047,F et al. (2015)
Electricity generation from wastewater using a microbial fuel cell by using mixed bacterial culture,147,No DOI,K et al. (2017)
Pollutant removal and bioelectricity generation from urban river sediment using a macrophyte cathode sediment microbial fuel cell (mSMFC),148,10.1016/j.bioelechem.2019.01.007,K et al. (2019)
Performance of microbial fuel cells operated under anoxic conditions,149,10.1016/j.apenergy.2019.05.043,M et al. (2019)
A review on sediment microbial fuel cells as a new source of sustainable energy and heavy metal remediation: Mechanisms and future prospective,150,10.1002/er.3706,A et al. (2017)
No Title,151,10.3389/fmicb.2018.03348,Unknown Author(s) (No Year)
Immobilization of a metal–nitrogen–carbon catalyst on activated carbon with enhanced cathode performance in microbial fuel cells,152,10.1002/cssc.201600573,Y et al. (2016)
The behaviour of membrane less sediment microbial fuel cell in the terms of bioremediation and power generation,153,No DOI,A et al. (2018)
Pyrolysis of iron phthalocyanine on activated carbon as highly efficient non-noble metal oxygen reduction catalyst in microbial fuel cells,154,10.1016/j.cej.2018.12.105,L et al. (2019)
A disposable water-activated paper-based MFC using dry E. coli biofilm,155,10.1016/j.bej.2018.12.016,N et al. (2019)
A graphene modified anode to improve the performance of microbial fuel cells,156,10.1016/j.jpowsour.2011.02.067,Z et al. (2011)
Direct electricity production from subaqueous wetland sediments and banana peels using membrane-less microbial fuel cells,157,10.1016/j.indcrop.2018.10.070,Y et al. (2019)
Spontaneous thallium (I) oxidation with electricity generation in single-chamber microbial fuel cells,158,10.1016/j.apenergy.2017.10.075,W et al. (2018)
A membrane-free baffled microbial fuel cell for cathodic reduction of Cu (II) with electricity generation,159,10.1016/j.biortech.2011.01.057,T et al. (2011)
Removal of copper from aqueous solution by electrodeposition in cathode chamber of microbial fuel cell,160,10.1016/j.jhazmat.2011.02.018,T et al. (2011)
Characterization of microbial fuel cells enriched using Cr (VI)-containing sludge,161,10.4014/jmb.1008.08019,R et al. (2011)
No Title,162,No DOI,Unknown Author(s) (No Year)
Enhanced performance of hexavalent chromium reducing cathodes in the presence of Shewanellaoneidensis MR-1 and lactate,163,10.1021/es304606u,X et al. (2013)
The modeling of gold recovery from tetrachloroaurate wastewater using a microbial fuel cell,164,10.1016/j.biortech.2013.01.143,C et al. (2013)
Electricity production from a bio-electrochemical cell for silver recovery in alkaline media,165,10.1016/j.apenergy.2013.01.012,W et al. (2013)
Synergetic interactions improve cobalt leaching from lithium cobalt oxide in microbial fuel cells,166,10.1016/j.biortech.2012.11.011,H et al. (2013)
Efficacy of single-chamber microbial fuel cells for removal of cadmium and zinc with simultaneous electricity production,167,10.1016/j.watres.2013.10.062,A et al. (2014)
Reduced graphene oxide and biofilms as cathode catalysts to enhance energy and metal recovery in microbial fuel cell,168,10.1016/j.biortech.2019.03.080,W et al. (2019)
Simultaneous Removal And/Or Recovery Of Cr (VI) And Cr (III) Using A Double Mfc Technique,169,No DOI,L et al. (2019)
Recovering platinum from wastewater by charring biofilm of microbial fuel cells (MFCs),170,10.1016/j.jscs.2018.08.003,L et al. (2019)
Decolorization of azo dyes in bioelectrochemical systems,171,10.1021/es900057f,M et al. (2009)
Degradation of azo dyes using in-situ Fenton reaction incorporated into H2O2-producing microbial fuel cell,172,10.1016/j.cej.2010.03.032,F et al. (2010)
Azo dye treatment with simultaneous electricity production in an anaerobic–aerobic sequential reactor and microbial fuel cell coupled system,173,10.1016/j.biortech.2010.01.114,L et al. (2010)
Photocatalytically improved azo dye reduction in a microbial fuel cell with rutile-cathode,174,10.1016/j.biortech.2009.11.107,D et al. (2010)
Assessment upon azo dye decolorization and bioelectricity generation by Proteus hauseri,175,10.1016/j.biortech.2010.01.133,C et al. (2010)
Further treatment of decolorization liquid of azo dye coupled with increased power production using microbial fuel cell equipped with an aerobic biocathode,176,10.1016/j.watres.2010.07.059,S et al. (2011)
Enlargement of anode for enhanced simultaneous azo dye decolorization and power output in air-cathode microbial fuel cell,177,10.1007/s10529-012-1002-8,S et al. (2012)
Enhanced bio-decolourisation of acid orange 7 by Shewanellaoneidensis through co-metabolism in a microbial fuel cell,178,10.1016/j.ibiod.2012.04.010,F et al. (2012)
Microbial fuel cells for azo dye treatment with electricity generation: A review,179,10.1016/j.biortech.2012.12.063,S et al. (2013)
Studies on the biodegradation of two different azo dyes in bioelectrochemical systems,180,10.1039/C5NJ00541H,K et al. (2015)
"Up-flow constructed wetland-microbial fuel cell for azo dye, saline, nitrate remediation and bioelectricity generation: From waste to energy approach",181,10.1016/j.biortech.2018.06.035,O et al. (2018)
No Title,182,10.3390/ma9100807,Unknown Author(s) (No Year)
Electrochemistry and microbiology of microbial fuel cells treating marine sediments polluted with heavy metals,183,10.1039/C8RA01711E,A et al. (2018)
"Microbial fuel cell is emerging as a versatile technology: A review on its possible applications, challenges and strategies to improve the performances",184,10.1002/er.3780,K et al. (2018)
An overview of electrode materials in microbial fuel cells,185,10.1016/j.jpowsour.2011.01.012,Z et al. (2011)
Challenges in the application of microbial fuel cells to wastewater treatment and energy production: A mini review,186,10.1016/j.scitotenv.2018.05.136,D et al. (2018)
