Title,Reference Number,DOI,First Author
Performance investigation and comparison of polypropylene to Nafion117 as the membrane of a dual-chamber microbial fuel cell,51,No DOI,E et al. (2023)
Synthesis and application of polypyrrole/carrageenan nano-bio composite as a cathode catalyst in microbial fuel cells,52,10.1016/j.carbpol.2014.07.072,E et al. (2014)
Sustainable power generation in microbial fuel cells using bicarbonate buffer and proton transfer mechanisms,53,10.1021/es071739c,F et al. (2007)
SPEEK polymeric membranes for fuel cell application and their characterization: a review,54,No DOI,F et al. (2007)
Treatment of biodiesel production wastes with simultaneous electricity generation using a single-chamber microbial fuel cell,55,10.1016/j.biortech.2010.05.059,F et al. (2010)
Brewery wastewater treatment using air cathode microbial fuel cells,56,10.1007/s00253-008-1360-2,F et al. (2008)
New application of supported ionic liquids membranes as proton exchange membranes in microbial fuel cell for waste water treatment,57,10.1016/j.cej.2015.04.036,F et al. (2015)
Synthesis and characterization of organic agar-based membranes for microbial fuel cells,58,No DOI,F et al. (2019)
"Life cycle assessment of high-rate anaerobic treatment, microbial fuel cells, and microbial electrolysis cells",59,10.1021/es100125h,F et al. (2010)
Modification of carbon felt anode with graphene/Fe2O3 composite for enhancing the performance of microbial fuel cell,60,10.1007/s00449-019-02233-3,F et al. (2020)
PB/PANI-modified electrode used as a novel oxygen reduction cathode in microbial fuel cell,61,10.1016/j.bios.2010.08.061,F et al. (2011)
Enhancement of proton transport by high densification of sulfonic acid groups in highly ordered mesoporous silica,62,10.1021/cm303950u,F et al. (2013)
Novel graphite sheet used as an anodic material for high performance microbial fuel cells,63,10.1016/j.matlet.2013.04.044,G et al. (2013)
Electricity production from macroalgae by a microbial fuel cell using nickel nanoparticles as cathode catalysts,64,10.1016/j.ijhydene.2017.10.127,G et al. (2017)
Carbon nanotube/polypyrrole nanocomposite as a novel cathode catalyst and proper alternative for Pt in microbial fuel cell,65,10.1016/j.ijhydene.2015.09.011,G et al. (2016)
Canteen based composite food waste as potential anodic fuel for bioelectricity generation in single chambered microbial fuel cell (MFC): bio-electrochemical evaluation under increasing substrate loading condition,66,10.1016/j.ijhydene.2011.02.056,G et al. (2011)
Remediation and recovery of uranium from contaminated subsurface environments with electrodes,67,10.1021/es050457e,G et al. (2005)
Microbial fuel cells with interpolymer cation exchange membranes,68,10.1016/j.seppur.2004.04.009,G et al. (2005)
Mustard tuber wastewater treatment and simultaneous electricity generation using microbial fuel cells,69,10.1016/j.biortech.2013.02.116,G et al. (2013)
Layer-by-layer assembled gold nanoparticles modified anode and its application in microbial fuel cells,70,10.1016/j.colsurfa.2012.09.032,G et al. (2012)
Cathodic limitations in microbial fuel cells: an overview,71,10.1016/j.jpowsour.2008.02.074,H et al. (2008)
Graphene Modified lipophilically by stearic acid and its composite with low density polyethylene,72,10.1080/00222348.2013.879804,H et al. (2014)
Hierarchical assembly of graphene/polyaniline nanostructures to synthesize free-standing supercapacitor electrode,73,10.1016/j.compscitech.2014.04.007,H et al. (2014)
Copper recovery combined with electricity production in a microbial fuel cell,74,10.1021/es100526g,H et al. (2010)
A dual-chambered microbial fuel cell with Ti/nano-TiO2/Pd nano-structure Cathode,75,10.1016/j.jpowsour.2012.07.096,H et al. (2012)
A new method for fabrication of graphene/polyaniline nanocomplex modified microbial fuel cell anodes,76,10.1016/j.jpowsour.2012.09.091,H et al. (2013)
In-situ modified carbon cloth with polyaniline/graphene as anode to enhance performance of microbial fuel cell,77,10.1016/j.ijhydene.2016.05.048,H et al. (2016)
Use of silicone membranes to enhance gas transfer during microbial fuel cell operation on carbon monoxide,78,10.1016/j.biortech.2011.09.057,H et al. (2011)
Computer simulation and study of radiation defects in graphene,79,10.1016/j.physe.2009.08.021,I et al. (2009)
Third generation in bio-electrochemical system research – a systematic review on mechanisms for recovery of valuable by-products from wastewater,80,10.1016/j.rser.2017.03.096,J et al. (2017)
Treatment of seafood processing wastewater using upflow microbial fuel cell for power generation and identification of bacterial community in anodic biofilm,81,10.1016/j.jenvman.2016.05.050,J et al. (2016)
Macroporous graphitic carbon foam decorated with polydopamine as a high-performance anode for microbial fuel cell,82,10.1016/j.jpowsour.2017.07.064,J et al. (2017)
Potential of core-shell NiFe layered double hydroxide@Co3O4 nanostructures as cathode catalysts for oxygen reduction reaction in microbial fuel cells,83,10.1016/j.jpowsour.2020.227877,J et al. (2020)
Coupling of anodic and cathodic modification for increased power generation in microbial fuel cells,84,10.1016/j.jpowsour.2012.07.066,J et al. (2012)
Treatment of cassava mill wastewater and production of electricity through microbial fuel cell technology,85,10.1016/j.fuel.2011.03.031,K et al. (2011)
Perfluorocyclobutyl (PFCB)-based polymer blends for proton exchange membrane fuel cells (PEMFCs),86,10.1016/j.memsci.2012.12.012,K et al. (2013)
The electric picnic: synergistic requirements for exoelectrogenic microbial communities,87,10.1016/j.copbio.2011.03.003,K et al. (2011)
Hexavalent chromium as a cathodic electron acceptor in a bipolar membrane microbial fuel cell with the simultaneous treatment of electroplating wastewater,88,10.1016/j.cej.2017.07.077,K et al. (2017)
Properties of electro responsive poly(vinyl alcohol)/poly(acrylic acid) IPN hydrogels under an electric stimulus,89,10.1002/(SICI)1097-4628(19990829)73:9<1675::AID-APP8>3.0.CO;2-9,K et al. (1999)
Characterization of uncharged and sulfonated porous poly(vinylidene fluoride) membranes and their performance in microbial fuel cells,90,10.1016/j.memsci.2014.03.061,K et al. (2014)
High-quality effluent and electricity production from non-CEM based Flow-through type microbial fuel cell,91,10.1016/j.cej.2012.12.018,K et al. (2013)
"A mediator-less microbial fuel cell using a metal reducing bacterium, Shewanella putrefaciens",92,10.1016/S0141-0229(01)00478-1,K et al. (2002)
No Title,93,No DOI,K et al. (2009)
Systematic screening of carbon-based anode materials for microbial fuel cells with Shewanella oneidensis MR-1,94,10.1016/j.biortech.2013.07.076,K et al. (2013)
"Biofouling of membranes in microbial electrochemical technologies: causes, characterization methods and mitigation strategies",95,10.1016/j.biortech.2019.02.001,K et al. (2019)
Recent advances and challenges in the anode architecture and their modifications for the applications of microbial fuel cells,96,10.1016/j.bios.2012.12.048,K et al. (2013)
Formation and evaluation of semi- IPN of Nafion 117 membrane for direct methanol fuel cell: 1. Crosslinked sulfonated polystyrene in the pores of Nafion 117,97,10.1016/j.jpowsour.2006.10.099,K et al. (2007)
Comparisons of low-cost adsorbents for treating wastewaters laden with heavy metals,98,10.1016/j.scitotenv.2005.10.001,K et al. (2005)
Physicochemical treatment techniques for wastewater laden with heavy metals,99,10.1016/j.cej.2006.01.015,K et al. (2006)
Power production enhancement with a polyaniline modified anode in microbial fuel cells,100,10.1016/j.bios.2011.07.050,L et al. (2011)
Flame synthesis of carbon nanostructures on stainless steel anodes for use in microbial fuel cells,101,10.1016/j.jpowsour.2011.02.077,L et al. (2011)
Optimization of a Pt-free cathode suitable for practical applications of microbial fuel cells,102,10.1016/j.biortech.2009.04.061,L et al. (2009)
Adding zero-valent iron to enhance electricity generation during MFC start-up,103,10.3390/ijerph17030806,L et al. (2020)
An excellent alternative composite modifier for cathode catalysts prepared from bacterial cellulose doped with Cu and P and its utilization in microbial fuel cell,104,10.1016/j.biortech.2019.121661,L et al. (2019)
Graphene oxide supported magnesium oxide as an efficient cathode catalyst for power generation and wastewater treatment in single chamber microbial fuel cells,105,10.1016/j.cej.2017.07.031,L et al. (2017)
No Title,106,No DOI,L et al. (2015)
Iron- and nitrogen-functionalized graphene as a non-precious metal catalyst for enhanced oxygen reduction in an air-cathode microbial fuel cell,107,10.1016/j.jpowsour.2012.04.002,L et al. (2012)
Co-modified MoO2 nanoparticles highly dispersed on N-doped carbon nanorods as anode electrocatalyst of microbial fuel cells,108,10.1016/j.bios.2019.111727,L et al. (2019)
Self-sustained reduction of multiple metals in a microbial fuel cell–microbial electrolysis cell hybrid system,109,10.1016/j.biortech.2015.05.030,L et al. (2015)
Azo dye treatment with simultaneous electricity production in an anaerobic–aerobic sequential reactor and microbial fuel cell coupled system,110,10.1016/j.biortech.2010.01.114,L et al. (2010)
Nitrogenous mesoporous carbon coated with Co/Cu nanoparticles modified activated carbon as air cathode catalyst for microbial fuel cell,111,10.1016/j.jelechem.2020.113904,L et al. (2020)
Manganese oxide/functionalised carbon nanotubes nanocomposite as catalyst for oxygen reduction reaction in microbial fuel cell,112,10.1016/j.ijhydene.2015.04.030,L et al. (2015)
"Poly(2,5-benzimidazole)–silica nanocomposite membranes for high temperature proton exchange membrane fuel cell",113,10.1016/j.memsci.2012.04.018,L et al. (2012)
Graphene/carbon cloth anode for high-performance mediatorless microbial fuel cells,114,10.1016/j.biortech.2012.02.116,L et al. (2012)
Reduction of graphene oxide to highly conductive graphene by Lawesson's reagent and its electrical applications,115,10.1039/c3tc00067b,L et al. (2013)
Reduction of graphene oxide to highly conductive graphene by Lawesson's reagent and its electrical applications,116,10.1039/c3tc00067b,L et al. (2013)
No Title,117,No DOI,L et al. (2008)
Microbial fuel cells: methodology and technology,118,10.1021/es0605016,L et al. (2006)
Membrane-based processes for sustainable power generation using water and wastewater,119,10.1038/nature11477,L et al. (2012)
No Title,120,No DOI,L et al. (2007)
Electricity generation from cysteine in a microbial fuel cell,121,10.1016/j.watres.2004.11.019,L et al. (2005)
Conversion of wastes into bioelectricity and chemicals by using microbial electrochemical technologies,122,10.1126/science.1217412,L et al. (2012)
Microbial fuel cells: methodology and technology,123,10.1021/es0605016,L et al. (2006)
Microbial fuel cells--challenges and applications,124,10.1021/es0627592,L et al. (2006)
"Manganese polypyrrole carbon nanotube, a new oxygen reduction catalyst for air-cathode microbial fuel cells",125,10.1016/j.jpowsour.2012.08.034,L et al. (2013)
Electricity generation from starch processing wastewater using microbial fuel cell technology,126,10.1016/j.bej.2008.10.005,L et al. (2009)
Microbial fuel cell as a biocapacitor by using pseudo-capacitive anode Materials,127,10.1016/j.jpowsour.2013.08.014,L et al. (2014)
Ruthenium oxide-coated carbon felt electrode: A highly active anode for microbial fuel cell applications,128,10.1016/j.jpowsour.2012.02.109,L et al. (2012)
Progress on anodic modification materials and future development directions in microbial fuel cells,129,10.1016/j.jpowsour.2022.232486,M et al. (2023)
Increased microbial fuel cell performance using quaternized poly ether ketone anionic membrane electrolyte for electricity generation,130,10.1016/j.ijhydene.2012.12.013,M et al. (2013)
"Cathode materials evaluation in microbial fuel cells: a comparison of carbon, Mn2O3, Fe2O3 and platinum materials",131,10.1016/j.electacta.2011.08.078,M et al. (2011)
Facile synthesis of graphene phthalocyanine composites as oxygen reduction electrocatalysts in microbial fuel cells,132,10.1016/j.apcatb.2018.06.031,M et al. (2018)
Phase coherent transport in graphene quantum billiards,133,10.1126/science.1144359,M et al. (2007)
"Polypyrrole membranes containing chelating ligands: synthesis, characterization and transport studies",134,10.1016/S0032-3861(01)00436-0,M et al. (2001)
Influence of evapotranspiration on wastewater treatment and electricity generation performance of constructed wetland integrated microbial fuel cell,135,No DOI,M et al. (2023)
Composite vegetable waste as renewable resource for bioelectricity generation through non-catalyzed open-air cathode microbial fuel cell,136,10.1016/j.biortech.2009.09.005,M et al. (2009)
"Effect of ionic strength, cation exchanger and inoculum age on the performance of Microbial Fuel Cells",137,10.1016/j.ijhydene.2009.05.101,M et al. (2009)
Metal removal and recovery in bioelectrochemical systems: a review,138,10.1016/j.biortech.2015.06.058,N et al. (2015)
Enhancing microbial fuel cell performance for sustainable treatment of palm oil mill wastewater using carbon cloth anode coated with activated carbon,139,No DOI,N et al. (2023)
Anode modification as an alternative approach to improve electricity generation in microbial fuel cells,140,10.3390/en13246596,N et al. (2020)
Hydrogen as electron donor for copper removal in bioelectrochemical systems,141,10.1016/j.ijhydene.2016.02.058,N et al. (2016)
Hydrogen and electricity production from a food processing wastewater using fermentation and microbial fuel cell technologies,142,10.1016/j.watres.2005.09.019,O et al. (2005)
Uptake of self secretedflavins as bound cofactors for extracellular electron transfer in Geobacter species,143,10.1039/C3EE43674H,O et al. (2014)
Carbon paste/LDH/bacteria biohybrid for the modification of the anode electrode of a microbial fuel cell,144,10.1016/j.jtice.2022.104668,O et al. (2023)
"A comprehensive review on microbial fuel cell technologies: processes, utilization, and advanced developments in electrodes and membranes",145,10.1016/j.jclepro.2019.02.172,P et al. (2019)
Recent advances in the use of different substrates in microbial fuel cells toward wastewater treatment and simultaneous energy recovery,146,10.1016/j.apenergy.2016.01.056,P et al. (2016)
An introduction to the life cycle assessment (LCA) of bioelectrochemical systems (BES) for sustainable energy and product generation: relevance and key aspects,147,10.1016/j.rser.2010.10.005,P et al. (2011)
A review of the substrates used in microbial fuel cells (MFCs) for sustainable energy production,148,10.1016/j.biortech.2009.10.017,P et al. (2010)
Sulfonated hydrocarbon membranes for medium temperature and low-humidity proton exchange membrane fuel cells (PEMFCs),149,10.1016/j.progpolymsci.2011.06.001,P et al. (2011)
Electricity generation in microbial fuel cells using neutral red as an electronophore,150,10.1128/AEM.66.4.1292-1297.2000,P et al. (2000)
Impact of electrode composition on electricity generation in a single-copartment fuel cell using Shewanella putrefucians,151,No DOI,P et al. (2002)
Improved fuel cell and electrode designs for producing electricity from microbial degradation,152,10.1002/bit.10501,P et al. (2003)
Characterization and electrolytic treatment of wood combustion fly ash for the removal of cadmium,153,10.1016/S0961-9534(03)00051-5,P et al. (2003)
Modified stainless steel for high performance and stable anode in microbial fuel cells,154,10.1016/j.electacta.2016.02.127,P et al. (2016)
Enhanced anode performance of microbial fuel cells by adding nanosemiconductor goethite,155,10.1016/j.jpowsour.2012.09.057,P et al. (2013)
"Enhanced performance and capacitance behavior of anode by rolling Fe3O4 into activated carbon in microbial fuel cells, Bioresour",156,No DOI,P et al. (2012)
Enhanced performance and capacitance behavior of anode by rolling Fe3O4 into activated carbon in microbial fuel cells,157,10.1016/j.biortech.2012.06.021,P et al. (2012)
Graphite anode surface modification with controlled reduction of specific aryl diazonium salts for improved microbial fuel cells power output,158,10.1016/j.bios.2011.07.017,P et al. (2011)
"Electrical effects accompanying the decomposition of organic compounds, proc. Royal soc. London, ser. B, containing pap",159,No DOI,P et al. (1911)
Metal organic frameworks as emergent oxygen-reducing cathode catalysts for microbial fuel cells: a review,160,No DOI,P et al. (2021)
Anode decoration with biogenic Pd nanoparticles improved power generation in microbial fuel cells,161,10.1016/j.electacta.2015.09.157,Q et al. (2015)
A microbial fuel cell capable of converting glucose to electricity at high rate and efficiency,162,10.1023/A:1025484009367,R et al. (2003)
Microbial fuel cells: novel biotechnology for energy generation,163,10.1016/j.tibtech.2005.04.008,R et al. (2005)
No Title,164,No DOI,R et al. (2023)
Microbial fuel cell as new technology for bioelectricity generation: a review,165,10.1016/j.aej.2015.03.031,R et al. (2015)
"Synthesis, characterization and application studies of self-made Fe3O4/PES nanocomposite membranes in microbial fuel cell",166,10.1016/j.electacta.2011.08.036,R et al. (2012)
Fermentative hydrogen production and bioelectricity generation from food based industrial waste: an integrative approach,167,10.1016/j.biortech.2020.123447,R et al. (2020)
Comparative evaluation of methanogenesis suppression methods in microbial fuel cell during rice mill wastewater treatment,168,10.1016/j.eti.2019.100509,R et al. (2020)
Initial development and structure of biofilms on microbial fuel cell anodes,169,10.1186/1471-2180-10-98,R et al. (2010)
Synthesis of MWCNTs-core/thiophene polymer-sheath composite nanocables by a cationic surfactant-assisted chemical oxidative polymerization and their structural properties,170,10.1002/pola.23883,R et al. (2010)
Organosilane modified magnetite nanoparticles/poly(aniline-co-o/m amino benzene sulfonic acid) composites: synthesis and characterization,171,10.1016/j.reactfunctpolym.2007.05.023,R et al. (2007)
Self-Assembly directed synthesis of poly (ortho-toluidine)-metal (Gold and palladium) composite nanospheres,172,10.1166/jnn.2007.692,R et al. (2007)
"Conducting polymer functionalized multi-walled carbon nanotubes with noble metal nanoparticles: synthesis, morphological characteristics and electrical properties",173,10.1016/j.synthmet.2008.11.030,R et al. (2009)
Potential applications of algae in the cathode of microbial fuel cells for enhanced electricity generation with simultaneous nutrient removal and algae biorefinery: current status and future perspectives,174,No DOI,R et al. (2019)
Phosphatase and dehydrogenase activities in anodic chamber of single chamber microbial fuel cell (MFC) at variable substrate loading conditions,175,10.1016/j.bioelechem.2009.07.011,R et al. (2010)
Biofilm and nanowire production leads to increased current in Geobacter sulfurreducens fuel cells,176,10.1128/AEM.01444-06,R et al. (2006)
"Cyclic voltammetry of biofilms of wild type and mutant Geobacter sulfurreducens on fuel cell anodes indicates possible roles of OmcB, OmcZ, type IV pili, and protons in extracellular electron transfer",177,10.1039/b816647a,R et al. (2009)
Electricity generation from acidogenic food waste leachate using dual chamber mediator less microbial fuel cell,178,10.1016/j.ibiod.2012.09.006,R et al. (2012)
"Synthesis, characterization and application of phosphorylated fullerene/sulfonated polyvinyl alcohol (PFSP) composite cation exchange membrane for copper removal",179,10.1016/j.seppur.2016.12.011,R et al. (2017)
Design and properties of functional hybrid organic-inorganic membranes for fuel cells,180,10.1039/c0cs00144a,R et al. (2011)
Carbon-supported manganese oxide nanoparticles as electrocatalysts for oxygen reduction reaction (or) in neutral solution,181,10.1007/s10800-008-9653-9,R et al. (2009)
The role of carbon materials in heterogeneous catalysis,182,10.1016/S0008-6223(97)00173-5,R et al. (1998)
Polyelectrolyte membranes based on hydrocarbon polymer containing fullerene,183,10.1016/j.jpowsour.2007.10.017,S et al. (2008)
Ceramic Microbial Fuel Cells Stack: power generation in standard and supercapacitive mode,184,10.1038/s41598-018-21404-y,S et al. (2018)
"Conducting polymers: advanced materials for new design, rechargeable lithium batteries",185,10.1002/(SICI)1097-0126(199809)47:1<50::AID-PI4>3.0.CO;2-8,S et al. (1998)
Performance enhancement of microbial fuel cell by PVDF/Nafion nanofibre composite proton exchange membrane,186,10.1016/j.fuproc.2014.03.015,S et al. (2014)
Preparation and characterization of hybrid Nafion silica membrane doped with phosphotungstic acid for high temperature operation of proton exchange membrane fuel cells,187,10.1016/j.memsci.2003.09.014,S et al. (2004)
Microbial fuel cells: a green technology for power generation,188,No DOI,S et al. (2010)
Microbial fuel cells: a sustainable solution for bioelectricity generation and wastewater treatment,189,10.1080/17597269.2017.1413860,S et al. (2019)
Highly efficient sulfonated polybenzimidazole as a proton exchange membrane for microbial fuel cells,190,10.1016/j.jpowsour.2016.03.103,S et al. (2016)
Influence of sulfonated SiO2 in sulfonated polyether ether ketone nanocomposite membrane in microbial fuel cell,191,10.1016/j.fuel.2015.07.002,S et al. (2015)
Cadmium removal from water using thiolactic acid-modified titanium dioxide nanoparticles,192,10.1016/S1010-6030(02)00069-2,S et al. (2002)
Incorporation of zirconium hydrogen phosphate into porous ionomer membranes,193,10.1149/1.1703469,S et al. (2004)
Cobalt oxide/nanocarbon hybrid materials as alternative cathode catalyst for oxygen reduction in microbial fuel cell,194,10.1016/j.ijhydene.2015.01.119,S et al. (2015)
Application of modified chitosan membrane for microbial fuel cell: roles of proton carrier site and positive charge,195,10.1016/j.jclepro.2016.06.153,S et al. (2017)
Membranes based on phosphotungstic acid and polybenzimidazole for fuel cell application,196,10.1016/S0378-7753(00)00401-8,S et al. (2000)
Synthesis and performance of a cathode catalyst derived from areca nut husk in microbial fuel cell,197,10.1016/j.chemosphere.2022.137303,S et al. (2023)
Selective ion penetration of graphene oxide membranes,198,10.1021/nn304471w,S et al. (2012)
CuSe decorated carbon nanotubes as a high-performance cathode catalyst for microbial fuel cells,199,10.1016/j.electacta.2016.07.099,T et al. (2016)
Electrochemical treatment of graphite to enhance electron transfer from bacteria to electrodes,200,10.1016/j.biortech.2010.09.022,T et al. (2011)
Fullerene composite proton conducting membranes for polymer electrolyte fuel cells operating under low humidity conditions,201,10.1016/j.memsci.2006.04.052,T et al. (2006)
Effects of temperature on wastewater treatment in an affordable microbial fuel cell-adsorption hybrid system,202,10.1016/j.jece.2016.11.040,T et al. (2017)
Bioelectricity generation by natural microflora of septic tank wastewater (STWW) and biodegradation of persistent petrogenic pollutants by basidiomycetes fungi: an integrated microbial fuel cell system,203,10.1016/j.jhazmat.2021.125228,T et al. (2021)
Comparative study on Cronobacter sakazakii and Pseudomonas otitidis isolated from septic tank wastewater in microbial fuel cell for bioelectricity generation,204,10.1016/j.fuel.2019.03.060,T et al. (2021)
Carbon supported nickel-phthalocyanine/MnOx as novel cathode catalyst for microbial fuel cell application,205,10.1016/j.ijhydene.2017.07.201,T et al. (2017)
Is microbial fuel cell technology ready? An economic answer towards industrial commercialization,206,10.1016/j.apenergy.2016.10.109,T et al. (2017)
Application of graphene-based nanomaterials as novel cathode catalysts for improving power generation in single chamber microbial fuel cells,207,10.1016/j.jpowsour.2016.07.099,V et al. (2016)
Performance of cobalt oxide/carbon cloth composite electrode in energy generation from dairy wastewater using microbial fuel cells,208,10.1186/s42834-020-00058-4,V et al. (2020)
Cathodic reduction of hexavalent chromium [Cr(VI)] coupled with electricity generation in microbial fuel cells,209,10.1007/s10529-008-9792-4,W et al. (2008)
Fabrication of new fullerene composite membranes and their application in proton exchange membrane fuel cells,210,10.1016/j.memsci.2006.12.008,W et al. (2007)
Bioelectrochemical metal recovery from wastewater: a review,211,10.1016/j.watres.2014.08.013,W et al. (2014)
Carbon nanotube modified air-cathodes for electricity production in microbial fuel cells,212,10.1016/j.jpowsour.2011.05.005,W et al. (2011)
Adsorption–desorption of strontium from waters using aerobic granules,213,10.1016/j.jtice.2012.12.005,W et al. (2013)
Deposition of Fe on graphite felt by thermal decomposition of Fe(CO)5 for effective cathodic preparation of microbial fuel cells,214,10.1016/j.biortech.2013.01.153,W et al. (2013)
"Transparent, conductive graphene electrodes for dye-sensitized solar cells",215,10.1021/nl072838r,W et al. (2008)
