Type of Material,Anode ,Size of Anode,Surface Area of Anode cm2,Inoculum Source/,Power Density mw/m2,Title,DOI,Year
Carbon-based,Carbon Cloth,,,Vegetable Oil Industry Wastewater,6119.0,Adsorption of Cu (II) by low cost adsorbents and the cost analysis,10.1016/j.eti.2018.02.003,2018
Carbon-based,Carbon cloth,2 cm × 2 cm,4.0,S. putrefaciens CN32,679.7,L-Cysteine tailored porous graphene aerogel for enhanced power generation in microbial fuel cells,10.1039/C5RA09170E,2015
Composites,rGO/SnO2/Carbon cloth composite,3 cm × 2 cm,6.0,E. coli,1624.0,Facile microwave-assisted synthesized reduced graphene oxide/tin oxide nanocomposite and using as anode material of microbial fuel cell to improve power generation,10.1016/j.ijhydene.2014.05.008,2014
Carbon-based,Graphene,-,4.0,E. coli,2850.0,Electrochemically exfoliated graphene anodes with enhanced biocurrent production in single-chamber air-breathing microbial fuel cells,10.1016/j.bios.2016.02.054,2016
Composites,r GO/PPy,1 cm × 1.5 cm,,E. coli,1068.0,"Synthesis, structural, and morphological characterizations of reduced graphene oxide-supported polypyrrole anode catalysts for improved microbial fuel cell performances",10.1021/sc500244f,2014
Carbon-based,Graphene coating on Carbon cloth,1 cm × 2 cm,4.0,P. aeruginosa,52.5,Graphene/carbon cloth anode for high-performance mediatorless microbial fuel cells,10.1016/j.biortech.2012.02.116,2012
Carbon-based,Graphene oxide modification with carbon paper,5 × 3 cm2,,Anaerobic Sludge,368.0,Layer-by-layer construction of graphene-based microbial fuel cell for improved power generation and methyl orange removal,10.1007/s00449-014-1148-y,2014
Composite,Polyaniline (PANI) networks onto graphene nanoribbons (GNRs)-coated on carbon paper (CP/GNRs/PANI),2 cm × 2 cm,4.0,S. oneidensis MR-1,856.0,Antibacterial activity of graphene-modified anode on Shewanellaoneidensis MR-1 biofilm in microbial fuel cell,10.1016/j.jpowsour.2015.03.033,2015
Carbon-based,Graphene nanosheet coating on carbon paper,-,,S. oneidensis MR-1,610.0,Silver/iron oxide/graphitic carbon composites as bacteriostatic catalysts for enhancing oxygen reduction in microbial fuel cells,10.1016/j.jpowsour.2015.02.100,2015
Composites,N-doped graphene nanosheets (NGNS) on carbon cloth,1 cm × 1.5 cm,,E. coli,1008.0,Nitrogen doped graphene sheets as metal free anode catalysts for the high-performance microbial fuel cells,10.1016/j.ijhydene.2015.06.025,2015
Carbon-based,Graphene oxide,2 cm × 1cm,,S. oneidensis MR-1,102.0,High biocurrent generation in Shewanella-inoculated microbial fuel cells using ionic liquid functionalized graphene nanosheets as an anode,10.1039/c3cc42068j,2013
Carbon-based,3D-Graphene,0 mm × 5 mm (diameter × thickness),9.41,E. coli,1516.0,"Transition metal (Fe, Co, Ni, and Mn) oxides for oxygen reduction and evolution bifunctional catalysts in alkaline media",10.1016/j.nantod.2016.09.001,2016
Composites,Graphene/PPy,-,,S. oneidensis MR-1,145.0,Macroporous and monolithic anode based on polyaniline hybridized three-dimensional graphene for high-performance microbial fuel cells,10.1021/nn204656d,2012
Carbon-based,Carbon cloth,-,6.0,Wastewater,1292.0,Performance of non-porous graphite and titanium-based anodes in microbial fuel cells,10.1016/j.electacta.2008.03.032,2008
Carbon-based,Glassy carbon,1.7cm × 1.8 cm,7.0,Anaerobic sludge,1905.0,Microbially-reduced graphene scaffolds to facilitate extracellular electron transfer in microbial fuel cells,10.1016/j.biortech.2012.03.118,2012
Composite,Graphene powder/ Polytetrafluoroethylene on Carbon cloth,4 × 4 cm2,,Anaerobic pre-treated sludge,0.329,Fabrication of three-dimensional graphene anode for augmenting performance in microbial fuel cells,10.1016/j.crcon.2019.06.003,2019
Carbon-based,Carbon brush,2.5 cm × 2.5 cm,16.0,Sludge,4.25,Recovery of silver from wastewater coupled with power generation using a microbial fuel cell,10.1016/j.biortech.2011.12.058,2012
Composite,TiO2 and r GO composite,1 cm × 1 cm,1.0,S. putrefaciens CN32,3169.0,Synergistic effect of titanium dioxide nanocrystal/reduced graphene oxide hybrid on enhancement of microbial electrocatalysis,10.1016/j.jpowsour.2014.11.127,2015
Carbon-based,Graphite brush,3 cm × 2cm,8.0,Native wastewater,1280.0,Design of Iron (II) Phthalocyanine-Derived Oxygen Reduction Electrocatalysts for High-Power-Density Microbial Fuel Cells,10.1002/cssc.201700851,2017
Carbon-based,Carbon felt,2.5 × 2.5 cm,2.5,Anaerobic sludge,784.0,The impact of new cathode materials relative to baseline performance of microbial fuel cells all with the same architecture and solution chemistry,10.1039/C7EE00910K,2017
Composites,Polypyrrole/ graphene oxide,3.0 cm × 2.0 cm × 0.5 cm,,S. oneidensis,1326.0,One-step electrosynthesis of polypyrrole/graphene oxide composites for microbial fuel cell application,10.1016/j.electacta.2013.08.022,2013
Composites,RGO/ Carbon cloth-PANI,1.8 cm × 1.8 cm,,Anaerobic Sludge,1390.0,A new method for fabrication of graphene/polyaniline nanocomplex modified microbial fuel cell anodes,10.1016/j.jpowsour.2012.09.091,2013
Composites,Graphene/Au composite,-,6.0,S. oneidensis MR-1,508.0,Graphene/Au composites as an anode modifier for improving electricity generation in shewanella inoculated microbial fuel cells,10.1039/C5AY00976F,2015
Carbon-based,Graphene oxide wit CNT,-,,E. coli,434.0,Graphene oxide/carbon nanotube composite hydrogels-versatile materials for microbial fuel cell applications,10.1002/marc.201400332,2014
Carbon-based,Non-wet-proof carbon paper,-,10.0,Mixed community,188.0,Power generation from cellulose using mixed and pure cultures of cellulose-degrading bacteria in a microbial fuel cell,10.1016/j.enzmictec.2012.07.008,2012
Carbon-based,Carbon cloth /CNTs,3cm × 6 cm,,Domestic wastewater - acetate,65.0,Microbial fuel cell performance of multiwall carbon nanotubes on carbon cloth as electrodes,10.1016/j.jpowsour.2009.05.018,2009
Carbon-based,Carbon paper,2.5 cm × 4.5 cm,22.5,Primary clarifier overflow,600.0,Recent progress in electrodes for microbial fuel cells,10.1016/j.biortech.2011.07.019,2011
Composites,Graphite plates,-,155.0,Shewanellaoneidensi,1410.0,Scaling up microbial fuel cells,10.1021/es800775d,2008
Carbon-based,Carbon mesh,7 cm2,,Preacclimated bacteria from an active MFC,893.0,Use of carbon mesh anodes and the effect of different pre-treatment methods on power production in microbial fuel cells,10.1021/es900997w,2009
Metal,Stainless steel,"20 × 30 cm,",0.12,Marine sediments,23.0,Marine microbial fuel cell: Use of stainless-steel electrodes as anode and cathode materials,10.1016/j.electacta.2007.06.069,2007
Carbon-based,Non-wet proofed carbon cloth,-,7.0,Domestic wastewater,766.0,Increased performance of single-chamber microbial fuel cells using an improved cathode structure,10.1016/j.elecom.2006.01.010,2006
Composites,Stainless Steel Mesh coated with Carbon cloth,-,7.0,Domestic wastewater,1610.0,Factors affecting the performance of microbial fuel cells for sulfide and vanadium (V) treatment,10.1007/s00449-009-0312-2,2010
Carbon-based,Plain Carbon paper,2.5 × 4.5 cm,,Sediment sludge,33.0,Electricity generation from cysteine in a microbial fuel cell,10.1016/j.watres.2004.11.019,2005
Composite,Zero-dimension nitrogen-doped carbon dots modification with carbon paper,2.5 cm2 × 2.5 cm2,,Pseudomonas,0.32,Enhancing electricity generation of microbial fuel cell for wastewater treatment using nitrogen-doped carbon dots-supported carbon paper anode,10.1016/j.jclepro.2019.05.040,2019
Natural Sorce,Compressed milling,0.5 × 3.0,10.99,Anaerobic mix sludge,532.0,Biochar as a sustainable electrode material for electricity production in microbial fuel cells,10.1016/j.biortech.2014.01.058,2014
Natural Sorce,Bamboo charcoal,2.4 × 1.57,59.21,Anaerobic mix sludge,1652.0,Tubular bamboo charcoal for anode in microbial fuel cells,10.1016/j.jpowsour.2014.08.115,2014
Natural Sorce,Loofah sponge,0.5 × 3.0,10.99,Anaerobic sludge,701.0,In situ formation of graphene layers on graphite surfaces for efficient anodes of microbial fuel cells,10.1016/j.bios.2015.04.074,2015
Natural Sorce,Loofah sponge/PANI,0.5 × 3.0,10.99,Mix sludge,2590.0,High-capacity carbon-coated titanium dioxide core-shell nanoparticles modified three dimensional anodes for improved energy output in microbial fuel cells,10.1016/j.jpowsour.2014.10.035,2015
Natural Sorce,Coconut shell/ sewage sludge,0.5 × 3.0,10.99,Mix sludge,1069.0,Conversion of sewage sludge into high-performance bifunctional electrode materials for microbial energy harvesting,10.1039/C5TA00458F,2015
Natural Sorce,Barbed chestnut shell,2.7 × 2.7,91.0,Mix sludge,759.0,A hierarchically structured urchin-like anode derived from chestnut shells for microbial energy harvesting,10.1016/j.electacta.2016.07.077,2016
Natural Sorce,Silk cocoon,,7.0,Mix sludge,5.0,Hierarchical mesoporous SnO2 nanosheets on carbon cloth: A robust and flexible electrocatalyst for CO2 reduction with high efficiency and selectivity,10.1002/anie.201608279,2017
Natural Sorce,Chestnut shells,0.3 × 66.4,125.65,Anaerobic mix sludge,850.0,In situ fabrication of green reduced graphene-based biocompatible anode for efficient energy recycle,10.1016/j.chemosphere.2017.11.057,2018
Natural Sorce,Onion peels,1.0 × 2.0 × 0.5,7.0,Mix sludge,742.0,"N, P-doped mesoporous carbon from onion as trifunctional metal-free electrode modifier for enhanced power performance and capacitive manner of microbial fuel cells",10.1016/j.electacta.2017.12.164,2018
Natural Sorce,Coffee wastes,,1.0,Domestic waste,3927.0,Renewable Coffee Waste-Derived Porous Carbons as Anode Materials for High-Performance Sustainable Microbial Fuel Cells,10.1021/acssuschemeng.9b02405,2019
