Reference Index,type_of_reference,authors,title,year,abstract,start_page,end_page,alternate_title3,volume,number,publisher,doi,First Author
16,JOUR,"['Wu, Xiayuan; Xiong, Xiaomin; Owens, Gary; Brunetti, Gianluca; Zhou, Jun; Yong, Xiaoyu; Xie, Xinxin; Zhang, Lijuan; Wei, Ping; Jia, Honghua']",Anode modification by biogenic gold nanoparticles for the improved performance of microbial fuel cells and microbial community shift,2018,"In this study, carbon cloth anodes were modified using biogenic gold nanoparticles (BioAu) and nanohybrids of multi-walled carbon nanotubes blended with BioAu (BioAu/MWCNT) to improve the performance of microbial fuel cells (MFCs). The results demonstrated that BioAu modification significantly enhanced the electricity generation of MFCs. In particular, BioAu/MWCNT nanohybrids as the modifier displayed a better performance. The MFC with the BioAu/MWCNT electrode had the shortest start-up time (6.74 d) and highest power density (178.34 ± 4.79 mW/m2), which were 141.69% shorter and 56.11% higher compared with those of the unmodified control, respectively. These improvements were attributed to the excellent electrocatalytic activity and strong affinity towards exoelectrogens of the BioAu/MWCNT nanohybrids on the electrode. High throughput sequencing analysis indicated that the relative abundance of electroactive bacteria in the biofilm community, mostly from the classes of Gammaproteobacteria and Negativicutes, increased after anode modification.",11,19,Bioresource technology,270,NA,,10.1016/j.biortech.2018.08.092,Wu
17,JOUR,"['Abourached, Carole; Catal, Tunc; Liu, Hong']",Efficacy of single-chamber microbial fuel cells for removal of cadmium and zinc with simultaneous electricity production.,2013,NA,228,233,Water research,51,NA,,10.1016/j.watres.2013.10.062,Abourached
18,JOUR,"['Jiang, Daqian; Li, Baikun']",Novel electrode materials to enhance the bacterial adhesion and increase the power generation in microbial fuel cells (MFCs),2009,"In this study, two novel electrode materials were tested to enhance bacterial adhesion and increase power production in microbial fuel cells (MFCs). Polypyrrole (PPy), a nontoxic conductive polymer, was coated on the plain carbon cloth electrodes to bridge with the biopolymers on bacterial cell membranes and to improve the power production. The PPy-coated electrodes increased the initial power from 20 mW/m(2) to 160 mW/m(2) in the first 4-day period. But there was no clear difference between two PPy coating thicknesses (5-cycle coating and 50-cycle coating) in terms of the bacterial adhesion and power production. Granular activated carbon (GAC), a commonly used bacterial support material with high surface area, exhibited a good bacterial adhesion and high power output. GAC-SCMFCs (single chamber MFCs) generated 5 W/m(3) and maintained the peak power for 6 days. Compared with plain carbon cloth electrodes, GAC-SCMFCs had lower internal resistances and higher power generations. However, GAC-SCMFCs had lower columbic efficiency and energy conversion efficiency than the conventional two chamber MFCs.",557,563,Water science and technology : a journal of the International Association on Water Pollution Research,59,3,,10.2166/wst.2009.007,Jiang
19,JOUR,"['Sokol, Noah W.; Bradford, Mark A.']",Microbial formation of stable soil carbon is more efficient from belowground than aboveground input,2018,NA,46,53,Nature Geoscience,12,1,,10.1038/s41561-018-0258-6,Sokol
20,JOUR,"['Yang, Yunlong; Lin, Ershu; Sun, Shuqian; Chen, Huan; Chow, Alex T.']",Direct electricity production from subaqueous wetland sediments and banana peels using membrane-less microbial fuel cells,2019,NA,70,79,Industrial Crops and Products,128,NA,,10.1016/j.indcrop.2018.10.070,Yang
21,JOUR,"['Ma, Ming; You, Shijie; Gong, Xiaobo; Dai, Ying; Zou, Jinlong; Fu, Honggang']",Silver/iron oxide/graphitic carbon composites as bacteriostatic catalysts for enhancing oxygen reduction in microbial fuel cells,2015,NA,74,83,Journal of Power Sources,283,NA,,10.1016/j.jpowsour.2015.02.100,Ma
22,JOUR,"['Zou, Long; Qiao, Yan; Wu, Xiaoshuai; Ma, Cai-Xia; Li, Xin; Li, Chang Ming']",Synergistic effect of titanium dioxide nanocrystal/reduced graphene oxide hybrid on enhancement of microbial electrocatalysis,2015,NA,208,214,Journal of Power Sources,276,NA,,10.1016/j.jpowsour.2014.11.127,Zou
23,JOUR,"['Phoon, Bao Lee; Lai, Chin Wei; Juan, Joon Ching; Show, Pau Loke; Chen, Wei Hsin']",A review of synthesis and morphology of SrTiO3 for energy and other applications,2019,NA,5151,5174,International Journal of Energy Research,43,10,,10.1002/er.4505,Phoon
24,JOUR,"['Hung, Yu-Hsuan; Liu, Tzu-Yin; Chen, Han-Yi']",Renewable Coffee Waste-Derived Porous Carbons as Anode Materials for High-Performance Sustainable Microbial Fuel Cells,2019,"Microbial fuel cell (MFC) is a sustainable technology that can produce electrons using microbes. However, low power density and high cost are the two major issues that hamper the development of MFC...",16991,16999,ACS Sustainable Chemistry & Engineering,7,20,,10.1021/acssuschemeng.9b02405,Hung
25,JOUR,"['Qiu, Rui; Zhang, Baogang; Li, Jiaxin; Lv, Qing; Wang, Song; Gu, Qian']",Enhanced vanadium (V) reduction and bioelectricity generation in microbial fuel cells with biocathode,2017,NA,379,383,Journal of Power Sources,359,NA,,10.1016/j.jpowsour.2017.05.099,Qiu
26,JOUR,"['Abbas, Syed Zaghum; Rafatullah, Mohd; Ismail, Norli; Nastro, Rosa Anna']",Enhanced bioremediation of toxic metals and harvesting electricity through sediment microbial fuel cell,2017,"Summary Performance of sediment microbial fuel cells (SMFCs) with aerated (A-SMFC) and nonaerated (NA-SMFC) cathodes was evaluated at different operating conditions in toxic metal removal and power generation. The A- and NA-SMFC open-circuit voltages were respectively about 665 and 275 mV, with quite steady performances for 120 days. The cell design points of both SMFCs were calculated by implementing polarization curves, and they were at 1 kΩ (power density 8.1 mW/m2 and current density 0.0504 mA/m2 with voltage 150 mV) for NA-SMFC and 100 Ω (power density 252.81 mW/m2 and current density 0.954 mA/m2 with voltage of 275 mV) for A-SMFC, respectively. Cathode potentials were at 30 kΩ 290 mV (NA-SMFC) and 500 mV (A-SMFC). As to the anode, at 30 KΩ, it was −180 mV (NA-SMFC) and 190 mV (A-SMFC). The voltammetry profiles of A-SMFC showed maximum current (forward scan, 22.7 μA; reverse scan, −19.4 μA) followed by NA-SMFC (forward scan, 11.3 μA; reverse scan, −9.5 μA). The cell design points of A-SMFC and NA-SMFC were altered after pH and temperature amendments at 200 and 700 Ω, respectively. As to metal removal rate, the maximum arsenic cadmium and lead removal was observed in A-SMFC at pH 7.0 (77.70%, 90.86%, and 83.91%) and 45°C (66.22%, 79.03%, and 71.17%). Scanning electron microscopy confirmed, at pH 7.0 and 45°C, an optimal biofilm growth at cathode and anode graphite of both SMFCs. After 120 days of operation, genomic DNA was extracted from biofilms and analyzed for rDNA 16S sequences. Similarity search was performed by using Basic Local Alignment Search Tool algorithm against the National Center for Biotechnology Information Gen Bank showing Pseudomonas spp. dominance at both anode and cathode. The results revealed that the A-SMFC system could be employed as an effective and long-term tool for power generation as well as stimulated bioremediation of the polluted sediments.",2345,2355,International Journal of Energy Research,41,14,,10.1002/er.3804,Abbas
27,JOUR,"['Tao, Hu-Chun; Li, Wei; Liang, Min; Xu, Nan; Ni, Jinren; Wu, Wei-Min']",A membrane-free baffled microbial fuel cell for cathodic reduction of Cu(II) with electricity generation.,2011,NA,4774,4778,Bioresource technology,102,7,,10.1016/j.biortech.2011.01.057,Tao
28,JOUR,"['Abbas, Syed Zaghum; Rafatullah, Mohd; Ismail, Norli; Lalung, Japareng']","Isolation, identification, characterization, and evaluation of cadmium removal capacity of Enterobacter species",2014,"This study focused on the isolation and characterization of high cadmium-resistant bacterial strains, possible exploitation of its cadmium-accumulation and cadmium-induced proteins. Cadmium-resistant bacterial strains designated as RZ1 and RZ2 were isolated from industrial wastewater of Penang, Malaysia. These isolates were identified as Enterobacter mori and Enterobacter sp. WS12 on the basis of phenotypic, biochemical and 16S rDNA sequence based molecular phylogenetic characteristics. Both isolates were Gram negative, cocci, and growing well in Lauria-Bertani broth medium at 35 °C temperature and pH 7.0. Results also indicated that Enterobacter mori and Enterobacter sp. WS12are capable to remove 87.75 and 85.11% of the cadmium from 100 µg ml(-1) concentration, respectively. This study indicates that these strains can be useful as an inexpensive and efficient bioremediation technology to remove and recover the cadmium from wastewater.",1279,1287,Journal of basic microbiology,54,12,,10.1002/jobm.201400157,Abbas
29,JOUR,"['Wang, Yuyang; Chen, Ye; Wen, Qing']",Microbial fuel cells: enhancement with a polyaniline/carbon felt capacitive bioanode and reduction of Cr(VI) using the intermittent operation,2017,NA,319,326,Environmental Chemistry Letters,16,1,,10.1007/s10311-017-0678-3,Wang
30,JOUR,"['Tao, Hu-Chun; Liang, Min; Li, Wei; Zhang, Li-Juan; Ni, Jinren; Wu, Wei-Min']",Removal of copper from aqueous solution by electrodeposition in cathode chamber of microbial fuel cell,2011,NA,186,192,Journal of hazardous materials,189,1,,10.1016/j.jhazmat.2011.02.018,Tao
31,JOUR,"['Zhao, Cui-e; Wang, Ying; Shi, Fengjian; Zhang, Jian-Rong; Zhu, Jun-Jie']",High biocurrent generation in Shewanella-inoculated microbial fuel cells using ionic liquid functionalized graphene nanosheets as an anode,2013,"The positively-charged ionic liquid functionalized graphene nanosheets (IL-GNS) were used as an anode in microbial fuel cells (MFCs), and proved effective for the high biocurrent generation and power output.",6668,6670,"Chemical communications (Cambridge, England)",49,59,,10.1039/c3cc42068j,Zhao
32,JOUR,"['Li, Fengwang; Chen, Lu; Knowles, Gregory P.; MacFarlane, Douglas R.; Zhang, Jie']",Hierarchical Mesoporous SnO2 Nanosheets on Carbon Cloth: A Robust and Flexible Electrocatalyst for CO2 Reduction with High Efficiency and Selectivity,2016,"Electrochemical reduction of CO2 into liquid fuels is a promising approach to achieve a carbon-neutral energy cycle. However, conventional electrocatalysts usually suffer from low energy efficiency and poor selectivity and stability. A 3D hierarchical structure composed of mesoporous SnO2 nanosheets on carbon cloth is proposed to efficiently and selectively electroreduce CO2 to formate in aqueous media. The electrode is fabricated by a facile combination of hydrothermal reaction and calcination. It exhibits an unprecedented partial current density of about 45 mA cm−2 at a moderate overpotential (0.88 V) with high faradaic efficiency (87±2 %), which is even larger than most gas diffusion electrodes. Additionally, the electrode also demonstrates flexibility and long-term stability. The superior performance is attributed to the robust and highly porous hierarchical structure, which provides a large surface area and facilitates charge and mass transfer.",505,509,Angewandte Chemie (International ed. in English),56,2,,10.1002/anie.201608279,Li
33,JOUR,"['Bhamare, Yatin Madhukar; Koinkar, Pankaj; Furube, Akihiro; More, Mahendra A.']",Femtosecond transient absorption spectroscopy of laser-ablated graphite and reduced graphene oxide for optical switching behavior,2019,"Abstract Carbon based materials are considered as a rewarding contestant for optical devices due to its novel properties. In this study, graphite is laser-ablated and different analytical methods such as XRD and Raman spectroscopy are used to evaluate the crystalline nature. In XRD, it indicates the decreased intensity after laser ablation but no change in peak positions resulted as graphite is very strong and hard material. Scanning electron microscopy (SEM) used to evaluate structural characteristics shows the overlapping layered structure after ablation. Reduced graphene oxide (rGO) is prepared by using modified Hummers' method and reduced it by thermal reduction method. UV–Vis spectra confirmed the peaks of graphite and rGO at 274 nm and 267 nm, respectively. To study the carrier relaxation dynamics of graphite and rGO, ultrafast Visible-pump/NIR-probe femtosecond transient absorption spectroscopy was used. Carrier relaxation occurred between 260 and 309 fs even after laser ablation damage, which is useful for future application of optical switching under high laser repetition.",100026,NA,Optical Materials: X,2,NA,,10.1016/j.omx.2019.100026,Bhamare
34,JOUR,"['Li, Zhihua; Gong, Liangjun']",Research Progress on Applications of Polyaniline (PANI) for Electrochemical Energy Storage and Conversion.,2020,"Conducting polyaniline (PANI) with high conductivity, ease of synthesis, high flexibility, low cost, environmental friendliness and unique redox properties has been extensively applied in electrochemical energy storage and conversion technologies including supercapacitors, rechargeable batteries and fuel cells. Pure PANI exhibits inferior stability as supercapacitive electrode, and can not meet the ever-increasing demand for more stable molecular structure, higher power/energy density and more N-active sites. The combination of PANI and other active materials like carbon materials, metal compounds and other conducting polymers (CPs) can make up for these disadvantages as supercapacitive electrode. As for rechargeable batteries and fuel cells, recent research related to PANI mainly focus on PANI modified composite electrodes and supported composite electrocatalysts respectively. In various PANI based composite structures, PANI usually acts as a conductive layer and network, and the resultant PANI based composites with various unique structures have demonstrated superior electrochemical performance in supercapacitors, rechargeable batteries and fuel cells due to the synergistic effect. Additionally, PANI derived N-doped carbon materials also have been widely used as metal-free electrocatalysts for fuel cells, which is also involved in this review. In the end, we give a brief outline of future advances and research directions on PANI.",548,NA,"Materials (Basel, Switzerland)",13,3,,10.3390/ma13030548,Li
35,JOUR,"['Cheng, Ying; Mallavarapu, Megharaj; Naidu, Ravi; Chen, Zuliang']",In situ fabrication of green reduced graphene-based biocompatible anode for efficient energy recycle.,2017,NA,618,624,Chemosphere,193,NA,,10.1016/j.chemosphere.2017.11.057,Cheng
36,JOUR,"['Sun, Jian; Li, Youming; Hu, Yongyou; Hou, Bin; Xu, Qian; Zhang, Yaping; Li, Sizhe']",Enlargement of anode for enhanced simultaneous azo dye decolorization and power output in air-cathode microbial fuel cell,2012,NA,2023,2029,Biotechnology letters,34,11,,10.1007/s10529-012-1002-8,Sun
37,JOUR,"['Choi, Chansoo; Cui, Yufeng']",Recovery of silver from wastewater coupled with power generation using a microbial fuel cell.,2011,NA,522,525,Bioresource technology,107,NA,,10.1016/j.biortech.2011.12.058,Choi
38,JOUR,"['Tang, Jiahuan; Yuan, Yong; Liu, Ting; Zhou, Shungui']",High-capacity carbon-coated titanium dioxide core–shell nanoparticles modified three dimensional anodes for improved energy output in microbial fuel cells,2015,NA,170,176,Journal of Power Sources,274,NA,,10.1016/j.jpowsour.2014.10.035,Tang
39,JOUR,"['Qiao, Yan; Wen, Guo-Yun; Wu, Xiaoshuai; Zou, Long']",L-Cysteine tailored porous graphene aerogel for enhanced power generation in microbial fuel cells,2015,"Graphene aerogel prepared from a solution is a good candidate for a microbial fuel cell (MFC) anode as it possesses a three dimensional porous structure for high biocatalyst loading. However, the surface modification and pore size adjustment are always required during the synthetic process. In this study, a highly biocompatible porous graphene aerogel is developed using a one-pot synthesis with L-cysteine as the reductant. The addition of L-cysteine not only reduces the graphene oxide at around 80 °C under an inert atmosphere but also tailors the pore size and structure of the aerogel. With the optimized ratio of L-cysteine in the precursor, the obtained graphene aerogel GIII exhibits a highly hydrophilic surface and appropriate pore structure for bacteria moving in and adhesion. Increasing the loading of bacterial cells on the GIII anode enables it to achieve a maximum power density of 679.7 mW m−2, which is around a 1.6 fold higher than the graphene aerogel prepared using a hydrothermal method. This study provides a new way to prepare three-dimensional porous biocompatible anode materials for improving MFC performance.",58921,58927,RSC Advances,5,72,,10.1039/c5ra09170e,Qiao
40,JOUR,"['Habibul, Nuzahat; Hu, Yi; Sheng, Guo-Ping']",Microbial fuel cell driving electrokinetic remediation of toxic metal contaminated soils.,2016,NA,9,14,Journal of hazardous materials,318,NA,,10.1016/j.jhazmat.2016.06.041,Habibul
41,JOUR,"['Wang, Xudong; Xu, Yang-Fan; Rao, Hua-Shang; Xu, Wei-Jian; Chen, Hong-Yan; Zhang, Wei-Xiong; Kuang, Dai-Bin; Su, Cheng-Yong']",Novel porous molybdenum tungsten phosphide hybrid nanosheets on carbon cloth for efficient hydrogen evolution,2016,"Nanostructural modification and chemical composition tuning are paramount to developing effective non-noble hydrogen evolution reaction (HER) catalysts for water splitting. Herein, we report a novel excellent porous molybdenum tungsten phosphide (Mo–W–P) hybrid nanosheet catalyst for hydrogen evolution, which is synthesized via in situ phosphidation of molybdenum tungsten oxide (Mo–W–O) hybrid nanowires grown on carbon cloth. The three-dimensional (3D) hierarchical hybrid electrocatalyst exhibits impressively high electrocatalytic activity with a low overpotential of 138 mV required to achieve a high current density of 100 mA cm−2 and a small Tafel slope of 52 mV dec−1 in 0.5 M H2SO4, which are significantly higher than those of single MoP nanosheets and WP2 nanorods. Such an outstanding performance of the Mo–W–P hybrid electrocatalyst is attributed to the 3D conductive scaffolds, porous nanosheet structure, and strong synergistic effect of W and Mo atoms in Mo–W–P, making it a very promising catalyst for hydrogen production. Our findings demonstrate that careful control over the morphology and composition of the electrocatalyst can achieve highly efficient hybrid electrocatalysts.",1468,1475,Energy & Environmental Science,9,4,,10.1039/c5ee03801d,Wang
42,JOUR,"['Zhao, Feng; Rahunen, Nelli; Varcoe, John R.; Chandra, Amreesh; Avignone-Rossa, Claudio; Thumser, Alfred E.; Slade, Robert C. T.']",Activated carbon cloth as anode for sulfate removal in a microbial fuel cell.,2008,"By employing the sulfate-reducing bacterium Desulfovibrio desulfuricans we demonstrate the possibility of electricity generation in a microbial fuel cell (MFC) with concomitant sulfate removal. This approach is based on an in situ anodic oxidative depletion of sulfide produced by D. desulfuricans. Three different electrode materials, graphite foil (GF), carbon fiber veil (CFV), and high surface area activated carbon cloth (ACC), were evaluated for sulfide electrochemical oxidation. In comparison to CFV and GF electrodes, ACC was a superior material for sulfide adsorption and oxidation and showed significant potential for harvesting energy from sulfate-rich solutions in the form of electricity. Sulfate (3.03 g dm−3) was removed from a bacterial suspension, which represented 99% removal. A maximum power density of 0.51 mW cm−2 (normalized to geometric electrode area) was obtained with a one-chamber, air-breathing cathode and continuous flow MFC operated in batch mode at 22 °C.",4971,4976,Environmental science & technology,42,13,,10.1021/es8003766,Zhao
43,JOUR,"[""Yazdi, Alireza Ahmadian; D'Angelo, Lorenzo; Omer, Nada; Windiasti, Gracia; Lu, Xiaonan; Xu, Jie""]",Carbon nanotube modification of microbial fuel cell electrodes,2016,NA,536,552,Biosensors & bioelectronics,85,NA,,10.1016/j.bios.2016.05.033,Yazdi
44,JOUR,"['Mehdinia, Ali; Ziaei, Ehsan; Jabbari, Ali']",Facile microwave-assisted synthesized reduced graphene oxide/tin oxide nanocomposite and using as anode material of microbial fuel cell to improve power generation,2014,NA,10724,10730,International Journal of Hydrogen Energy,39,20,,10.1016/j.ijhydene.2014.05.008,Mehdinia
45,JOUR,"['Chen, Shuiliang; He, Guanghua; Hu, Xiaowu; Xie, Mingyun; Wang, Suqin; Zeng, Daojie; Hou, Haoqing; Schröder, Uwe']",A three-dimensionally ordered macroporous carbon derived from a natural resource as anode for microbial bioelectrochemical systems.,2012,Top of the crops: The direct use of a natural three-dimensional (3D) architecture in microbial fuel cells (MFCs) is reported for the first time. Stems from the crop plant kenaf (Hibiscus cannabinus) are carbonized and used as anode material in MFCs. The current density generated by the carbon is comparable to that of other 3D anodes prepared by other methods. The renewable and low-cost characteristics of this material provide an excellent basis for large-scale application in microbial bioelectrochemcial systems.,1059,1063,ChemSusChem,5,6,,10.1002/cssc.201100783,Chen
46,JOUR,"['Wu, Yining; Wang, Ling; Jin, Min; Kong, Fanying; Qi, Hong; Nan, Jun']",Reduced graphene oxide and biofilms as cathode catalysts to enhance energy and metal recovery in microbial fuel cell.,2019,NA,129,137,Bioresource technology,283,NA,,10.1016/j.biortech.2019.03.080,Wu
