Title,Reference Number,DOI,Year
Microbial formation of stable soil carbon is more efficient from belowground than aboveground input,20,10.1038/s41561-018-0258-6,2019
"Microbial fuel cells: The effects of configurations, electrolyte solutions, and electrode materials on power generation",21,10.1007/s12010-008-8516-5,2010
Activated carbon cloth as anode for sulfate removal in a microbial fuel cell,22,10.1021/es8003766,2008
Novel porous molybdenum tungsten phosphide hybrid nanosheets on carbon cloth for efficient hydrogen evolution,23,10.1039/C5EE03801D,2016
Field and temperature dependence of intrinsic diamagnetism in graphene: Theory and experiment,24,10.1103/PhysRevB.91.094429,2015
Mechanical properties of nickel-graphene composites synthesized by electrochemical deposition,25,10.1088/0957-4484/26/6/065706,2015
Femtosecond transient absorption spectroscopy of laser-ablated graphite and reduced graphene oxide for optical switching behavior,26,No DOI,2019
Performance of non-porous graphite and titanium-based anodes in microbial fuel cells,27,10.1016/j.electacta.2008.03.032,2008
Harvesting energy from the marine sediment–water interface II: Kinetic activity of anode materials,28,10.1016/j.bios.2006.01.033,2006
Carbon nanotube modification of microbial fuel cell electrodes,29,10.1016/j.bios.2016.05.033,2016
Binder-free graphene and manganese oxide coated carbon felt anode for high-performance microbial fuel cell,30,10.1016/j.bios.2016.02.051,2016
Materials and Configurations for Scalable Microbial Fuel Cells,31,Patent 8962165B2,2015
Performance and recent improvement in microbial fuel cells for simultaneous carbon and nitrogen removal: A review,32,10.1016/j.jes.2015.12.006,2016
Generation of Electricity from Sewage Sludge Using Dual Chambered Microbial Fuel Cell Containing Copper as Electrodes,33,No DOI,2017
Influence of packing material characteristics on the performance of microbial fuel cells using petroleum refinery wastewater as fuel,34,10.1016/j.renene.2015.10.041,2016
Electrochemical Behavior of Anode-Respiring Bacteria on Doped Carbon Electrodes,35,10.1021/acsami.6b09907,2016
A review on graphene–TiO2 and doped graphene–TiO2 nanocomposite photocatalyst for water and wastewater treatment,36,10.1080/21622515.2016.1264489,2017
"Doping graphene with boron: A review of synthesis methods, physicochemical characterization, and emerging applications",37,10.1039/C5TA10599D,2016
The developments of SnO2/graphene nanocomposites as anode materials for high performance lithium ion batteries: A review,38,10.1016/j.jpowsour.2015.11.017,2016
Graphene and polymer composites for supercapacitor applications: A review,39,10.1186/s11671-017-2150-5,2017
Graphene as a flexible electrode: Review of fabrication approaches,40,10.1039/C7TA05759H,2017
A graphene foam electrode with high sulfur loading for flexible and high energy Li-S batteries,41,10.1016/j.nanoen.2014.11.025,2015
Hierarchical mesoporous SnO2 nanosheets on carbon cloth: A robust and flexible electrocatalyst for CO2 reduction with high efficiency and selectivity,42,10.1002/anie.201608279,2017
Microbial fuel cells: An overview of current technology,43,10.1016/j.rser.2018.09.044,2019
The use of date palm as a potential adsorbent for wastewater treatment: A review,44,10.1007/s11356-011-0709-8,2012
In situ fabrication of green reduced graphene-based biocompatible anode for efficient energy recycle,45,10.1016/j.chemosphere.2017.11.057,2018
Candle soot-derived carbon nanoparticles: An inexpensive and efficient electrode for microbial fuel cells,46,10.1016/j.electacta.2018.01.110,2018
Biomass derived activated carbon cathode performance for sustainable power generation from Microbial Fuel Cells,47,10.1016/j.fuel.2018.09.002,2019
Renewable Coffee Waste-Derived Porous Carbons as Anode Materials for High-Performance Sustainable Microbial Fuel Cells,48,10.1021/acssuschemeng.9b02405,2019
Graphene oxide synthesis using microwave-assisted vs. modified Hummer’s methods: Efficient fillers for improved ionic conductivity and suppressed methanol permeability in alkaline methanol fuel cell electrolytes,49,10.1016/j.jpowsour.2018.12.020,2019
A three dimensionally ordered macroporous carbon derived from a natural resource as anode for microbial bioelectrochemical systems,50,10.1002/cssc.201100783,2012
Biochar as a sustainable electrode material for electricity production in microbial fuel cells,51,10.1016/j.biortech.2014.01.058,2014
Tubular bamboo charcoal for anode in microbial fuel cells,52,10.1016/j.jpowsour.2014.08.115,2014
In situ formation of graphene layers on graphite surfaces for efficient anodes of microbial fuel cells,53,10.1016/j.bios.2015.04.074,2015
High-capacity carbon-coated titanium dioxide core-shell nanoparticles modified three dimensional anodes for improved energy output in microbial fuel cells,54,10.1016/j.jpowsour.2014.10.035,2015
Conversion of sewage sludge into high-performance bifunctional electrode materials for microbial energy harvesting,55,10.1039/C5TA00458F,2015
A hierarchically structured urchin-like anode derived from chestnut shells for microbial energy harvesting,56,10.1016/j.electacta.2016.07.077,2016
"N, P-doped mesoporous carbon from onion as trifunctional metal-free electrode modifier for enhanced power performance and capacitive manner of microbial fuel cells",57,10.1016/j.electacta.2017.12.164,2018
A Review Article of Nanoparticles; Synthetic Approaches and Wastewater Treatment Methods,58,No DOI,2019
Microbial fuel cells: Advances in electrode modifications for improvement of system performance,59,10.1080/15435075.2017.1326049,2017
Single medium microbial fuel cell: Stainless steel and graphite electrode materials select bacterial communities resulting in opposite electrocatalytic activities,60,10.1016/j.ijhydene.2017.08.178,2017
Microbial fuel cells: From fundamentals to applications. A review,61,10.1016/j.jpowsour.2017.03.109,2017
Application of nano-electrode platinum (Pt) and nano-wire titanium (Ti) for increasing electrical energy generation in microbial fuel cells of synthetic wastewater with carbon source (acetate),62,No DOI,2014
"Silver nanoparticles: Various methods of synthesis, size affecting factors and their potential applications—A review",63,10.1007/s13204-020-01318-w,2020
Non-PGM membrane electrode assemblies: Optimization for performance,64,10.1016/j.ijhydene.2015.05.185,2015
Interfacial electron transfer between Geobacter sulfurreducens and gold electrodes via carboxylate-alkanethiol linkers: Effects of the linker length,65,10.1016/j.bioelechem.2018.11.013,2019
Review Article on Applications and Classification of Gold Nanoparticles,66,No DOI,2019
Electrically conductive polymers and composites for biomedical applications,67,10.1039/C5RA01851J,2015
Conductive “smart” hybrid hydrogels with PNIPAM and nanostructured conductive polymers,68,10.1002/adfm.201404247,2015
A review of electrical conductivity models for conductive polymer composite,69,10.1016/j.ijhydene.2016.03.045,2017
A comparative study for the characterization of polyaniline-based nanocomposites and membrane properties,70,10.1039/C4RA01040J,2014
"Contaminant Removal and Energy Recovery in
Microbial Fuel Cells",71,10.1201/b22151-5,2019
A review of synthesis and morphology of SrTiO3 for energy and other applications,72,10.1002/er.4505,2019
"Synthesis, structural, and morphological characterizations of reduced graphene oxide-supported polypyrrole anode catalysts for improved microbial fuel cell performances",73,10.1021/sc500244f,2014
Influence of nitrogen environment on the performance of conducting polymers/CNTs nanocomposites modified anodes for microbial fuel cells (MFCs),74,No DOI,2018
Carbon nanotube-based nanocomposites and their applications,75,10.1080/01694243.2017.1295625,2017
"Progress
and Status of Hydrometallurgical and Direct Recycling of Li-Ion Batteries and Beyond",76,10.3390/ma13030801,2020
"Research Progress on Applications of Polyaniline (PANI) for Electrochemical Energy Storage
and Conversion",77,10.3390/ma13030548,2020
Application of aluminum-alloy mesh composite carbon cloth for the design of anode/cathode electrodes in Escherichia coli microbial fuel cell,78,No DOI,2013
Progress in Rechargeable Aqueous Zinc-and Aluminum-Ion Battery Electrodes: Challenges and Outlook,79,No DOI,2019
Strategies for optimizing the power output of microbial fuel cells: Transitioning from fundamental studies to practical implementation,80,10.1016/j.apenergy.2018.10.015,2019
High-thermal-and air-stability cathode material with concentration-gradient buffer for Li-ion batteries,81,10.1021/acsami.7b14684,2017
Power generation using an activated carbon fiber felt cathode in an upflow microbial fuel cell,82,10.1016/j.jpowsour.2009.08.092,2010
Continuous bioelectricity production and sustainable wastewater treatment in a microbial fuel cell constructed with non-catalyzed granular graphite electrodes and permeable membrane,83,10.2166/wst.2010.140,2010
Carbon nanotube as an alternative cathode support and catalyst for microbial fuel cells,84,10.1016/j.apenergy.2012.06.003,2013
A monolithic three-dimensional macroporous graphene anode with low cost for high performance microbial fuel cells,85,10.1039/C5RA24718G,2016
"Transition metal (Fe, Co, Ni, and Mn) oxides for oxygen reduction and evolution bifunctional catalysts in alkaline media",86,10.1016/j.nantod.2016.09.001,2016
Benefits of using carbon nanotubes in fuel cells: A review,87,10.1002/er.3600,2017
Polyaniline networks grown on graphene nanoribbons-coated carbon paper with a synergistic effect for high-performance microbial fuel cells,88,10.1039/c3ta12947k,2013
Antibacterial activity of graphene-modified anode on Shewanellaoneidensis MR-1 biofilm in microbial fuel cell,89,10.1016/j.jpowsour.2015.03.033,2015
High biocurrent generation in Shewanella-inoculated microbial fuel cells using ionic liquid functionalized graphene nanosheets as an anode,90,10.1039/c3cc42068j,2013
Silver/iron oxide/graphitic carbon composites as bacteriostatic catalysts for enhancing oxygen reduction in microbial fuel cells,91,10.1016/j.jpowsour.2015.02.100,2015
Effect of nitrate on electricity generation in single-chamber air cathode microbial fuel cells,92,10.1016/j.cej.2017.12.150,2018
Electricity generation from sweet potato-shochu waste using microbial fuel cells,93,10.1016/j.jbiosc.2018.12.015,2019
Power generation using an activated carbon and metal mesh cathode in a microbial fuel cell,94,10.1016/j.elecom.2009.09.024,2009
Investigation of PAH and oil degradation along with electricity generation in soil using an enhanced plant-microbial fuel cell,95,10.1016/j.jclepro.2019.02.212,2019
Microbial fuel cells: Enhancement with a polyaniline/carbon felt capacitive bioanode and reduction of Cr (VI) using the intermittent operation,96,10.1007/s10311-017-0678-3,2018
Photo-assisted methanol oxidation on Pt-TiO2 catalysts for direct methanol fuel cells: A short review,97,10.1016/j.apcatb.2018.06.029,2018
Novel nanostructured electrocatalysts for hydrogen evolution reaction in neutral and weak acidic solutions,98,10.1016/j.ijhydene.2012.02.102,2012
"Role of Nanomaterials in the Treatment of
Wastewater",99,10.3390/w12020495,2020
Performance evaluation of low-cost microbial fuel cell fabricated using earthen pot with biotic and abiotic cathode,100,10.1016/j.biortech.2009.07.089,2010
Evaluation of biocathodes in freshwater and brackish sediment microbial fuel cells,101,10.1007/s00253-010-2645-9,2010
Performance of microbial fuel cells based on the operational parameters of biocathode during simultaneous Congo red decolorization and electricity generation,102,10.1016/j.bioelechem.2019.04.019,2019
Review of high-performance biocathode using stainless steel and carbon-based materials in microbial fuel cell for electricity and water treatment,103,10.1016/j.ijhydene.2018.11.145,2019
L-Cysteine tailored porous graphene aerogel for enhanced power generation in microbial fuel cells,104,10.1039/C5RA09170E,2015
Facile microwave-assisted synthesized reduced graphene oxide/tin oxide nanocomposite and using as anode material of microbial fuel cell to improve power generation,105,10.1016/j.ijhydene.2014.05.008,2014
Electrochemically exfoliated graphene anodes with enhanced biocurrent production in single-chamber air-breathing microbial fuel cells,106,10.1016/j.bios.2016.02.054,2016
Graphene/carbon cloth anode for high-performance mediatorless microbial fuel cells,107,10.1016/j.biortech.2012.02.116,2012
Layer-by-layer construction of graphene-based microbial fuel cell for improved power generation and methyl orange removal,108,10.1007/s00449-014-1148-y,2014
Nitrogen doped graphene sheets as metal free anode catalysts for the high-performance microbial fuel cells,109,10.1016/j.ijhydene.2015.06.025,2015
Macroporous and monolithic anode based on polyaniline hybridized three-dimensional graphene for high-performance microbial fuel cells,110,10.1021/nn204656d,2012
Microbially-reduced graphene scaffolds to facilitate extracellular electron transfer in microbial fuel cells,111,10.1016/j.biortech.2012.03.118,2012
Fabrication of three-dimensional graphene anode for augmenting performance in microbial fuel cells,112,10.1016/j.crcon.2019.06.003,2019
Recovery of silver from wastewater coupled with power generation using a microbial fuel cell,113,10.1016/j.biortech.2011.12.058,2012
Crumpled graphene particles for microbial fuel cell electrodes,114,10.1016/j.jpowsour.2012.02.036,2012
Synergistic effect of titanium dioxide nanocrystal/reduced graphene oxide hybrid on enhancement of microbial electrocatalysis,115,10.1016/j.jpowsour.2014.11.127,2015
Design of Iron (II) Phthalocyanine-Derived Oxygen Reduction Electrocatalysts for High-Power-Density Microbial Fuel Cells,116,10.1002/cssc.201700851,2017
The impact of new cathode materials relative to baseline performance of microbial fuel cells all with the same architecture and solution chemistry,117,10.1039/C7EE00910K,2017
One-step electrosynthesis of polypyrrole/graphene oxide composites for microbial fuel cell application,118,10.1016/j.electacta.2013.08.022,2013
A new method for fabrication of graphene/polyaniline nanocomplex modified microbial fuel cell anodes,119,10.1016/j.jpowsour.2012.09.091,2013
Graphene/Au composites as an anode modifier for improving electricity generation in shewanella inoculated microbial fuel cells,120,10.1039/C5AY00976F,2015
Graphene oxide/carbon nanotube composite hydrogels-versatile materials for microbial fuel cell applications,121,10.1002/marc.201400332,2014
Power generation from cellulose using mixed and pure cultures of cellulose-degrading bacteria in a microbial fuel cell,122,10.1016/j.enzmictec.2012.07.008,2012
Microbial fuel cell performance of multiwall carbon nanotubes on carbon cloth as electrodes,123,10.1016/j.jpowsour.2009.05.018,2009
Scaling up microbial fuel cells,124,10.1021/es800775d,2008
Use of carbon mesh anodes and the effect of different pre-treatment methods on power production in microbial fuel cells,125,10.1021/es900997w,2009
Novel electrode materials to enhance the bacterial adhesion and increase the power generation in microbial fuel cells (MFCs),126,10.2166/wst.2009.007,2009
Marine microbial fuel cell: Use of stainless-steel electrodes as anode and cathode materials,127,10.1016/j.electacta.2007.06.069,2007
Increased performance of single-chamber microbial fuel cells using an improved cathode structure,128,10.1016/j.elecom.2006.01.010,2006
Factors affecting the performance of microbial fuel cells for sulfide and vanadium (V) treatment,129,10.1007/s00449-009-0312-2,2010
Electricity generation from cysteine in a microbial fuel cell,130,10.1016/j.watres.2004.11.019,2005
Biological denitrification in microbial fuel cells,131,10.1021/es062580r,2007
Open air biocathode enables effective electricity generation with microbial fuel cells,132,10.1021/es0709831,2007
Power generation and electrochemical analysis of biocathode microbial fuel cell using graphite fibre brush as cathode material,133,10.1002/fuce.200900023,2009
Electrochemical evaluation of Ti/TiO2-polyaniline anodes for microbial fuel cells using hypersaline microbial consortia for synthetic-wastewater treatment,134,No DOI,2010
Microbial communities and electrochemical performance of titanium-based anodic electrodes in a microbial fuel cell,135,10.1128/AEM.02912-09,2011
Enhancing electricity generation of microbial fuel cell for wastewater treatment using nitrogen-doped carbon dots-supported carbon paper anode,136,10.1016/j.jclepro.2019.05.040,2019
Nickel oxide/carbon nanotube/polyaniline nanocomposite as bifunctional anode catalyst for high-performance Shewanella-based dual-chamber microbial fuel cell,137,10.1007/s00449-017-1822-y,2017
"Enzymatic electrosynthesis: An overview on the progress in enzyme-electrodes for the production of electricity, fuels and chemicals",138,No DOI,2013
Metals removal and recovery in bioelectrochemical systems: A review,139,10.1016/j.biortech.2015.06.058,2015
"Isolation, identification, characterization, and evaluation of cadmium removal capacity of Enterobacter species",140,10.1002/jobm.201400157,2014
Enhanced bioremediation of toxic metals and harvesting electricity through sediment microbial fuel cell,141,10.1002/er.3804,2017
Simultaneous reduction of vanadium (V) and chromium (VI) with enhanced energy recovery based on microbial fuel cell technology,142,10.1016/j.jpowsour.2012.01.013,2012
Enhanced vanadium (V) reduction and bioelectricity generation in microbial fuel cells with biocathode,143,10.1016/j.jpowsour.2017.05.099,2017
Coupling bioelectricity generation and oil sands tailings treatment using microbial fuel cells,144,10.1016/j.biortech.2013.04.050,2013
Microbial fuel cell driving electrokinetic remediation of toxic metal contaminated soils,145,10.1016/j.jhazmat.2016.06.041,2016
Electricity production from Azo dye wastewater using a microbial fuel cell coupled constructed wetland operating under different operating conditions,146,10.1016/j.bios.2014.12.047,2015
Electricity generation from wastewater using a microbial fuel cell by using mixed bacterial culture,147,No DOI,2017
Pollutant removal and bioelectricity generation from urban river sediment using a macrophyte cathode sediment microbial fuel cell (mSMFC),148,10.1016/j.bioelechem.2019.01.007,2019
Performance of microbial fuel cells operated under anoxic conditions,149,10.1016/j.apenergy.2019.05.043,2019
A review on sediment microbial fuel cells as a new source of sustainable energy and heavy metal remediation: Mechanisms and future prospective,150,10.1002/er.3706,2017
"Immobilization of a metal�nitrogen�carbon catalyst on activated carbon with enhanced
cathode performance in microbial fuel cells",151,10.3389/fmicb.2018.03348,2016
Immobilization of a metal–nitrogen–carbon catalyst on activated carbon with enhanced cathode performance in microbial fuel cells,152,10.1002/cssc.201600573,2016
The behaviour of membrane less sediment microbial fuel cell in the terms of bioremediation and power generation,153,No DOI,2018
Pyrolysis of iron phthalocyanine on activated carbon as highly efficient non-noble metal oxygen reduction catalyst in microbial fuel cells,154,10.1016/j.cej.2018.12.105,2019
A disposable water-activated paper-based MFC using dry E. coli biofilm,155,10.1016/j.bej.2018.12.016,2019
A graphene modified anode to improve the performance of microbial fuel cells,156,10.1016/j.jpowsour.2011.02.067,2011
Direct electricity production from subaqueous wetland sediments and banana peels using membrane-less microbial fuel cells,157,10.1016/j.indcrop.2018.10.070,2019
Spontaneous thallium (I) oxidation with electricity generation in single-chamber microbial fuel cells,158,10.1016/j.apenergy.2017.10.075,2018
A membrane-free baffled microbial fuel cell for cathodic reduction of Cu (II) with electricity generation,159,10.1016/j.biortech.2011.01.057,2011
Removal of copper from aqueous solution by electrodeposition in cathode chamber of microbial fuel cell,160,10.1016/j.jhazmat.2011.02.018,2011
Characterization of microbial fuel cells enriched using Cr (VI)-containing sludge,161,10.4014/jmb.1008.08019,2011
"Simultaneous Chromium Removal and Power Generation Using Algal
Biomass in a Dual Chambered Salt Bridge Microbial Fuel Cell",162,10.4172/2155-6199.1000190,2013
Enhanced performance of hexavalent chromium reducing cathodes in the presence of Shewanellaoneidensis MR-1 and lactate,163,10.1021/es304606u,2013
The modeling of gold recovery from tetrachloroaurate wastewater using a microbial fuel cell,164,10.1016/j.biortech.2013.01.143,2013
Electricity production from a bio-electrochemical cell for silver recovery in alkaline media,165,10.1016/j.apenergy.2013.01.012,2013
Synergetic interactions improve cobalt leaching from lithium cobalt oxide in microbial fuel cells,166,10.1016/j.biortech.2012.11.011,2013
Efficacy of single-chamber microbial fuel cells for removal of cadmium and zinc with simultaneous electricity production,167,10.1016/j.watres.2013.10.062,2014
Reduced graphene oxide and biofilms as cathode catalysts to enhance energy and metal recovery in microbial fuel cell,168,10.1016/j.biortech.2019.03.080,2019
Simultaneous Removal And/Or Recovery Of Cr (VI) And Cr (III) Using A Double Mfc Technique,169,No DOI,2019
Recovering platinum from wastewater by charring biofilm of microbial fuel cells (MFCs),170,10.1016/j.jscs.2018.08.003,2019
Decolorization of azo dyes in bioelectrochemical systems,171,10.1021/es900057f,2009
Degradation of azo dyes using in-situ Fenton reaction incorporated into H2O2-producing microbial fuel cell,172,10.1016/j.cej.2010.03.032,2010
Azo dye treatment with simultaneous electricity production in an anaerobic–aerobic sequential reactor and microbial fuel cell coupled system,173,10.1016/j.biortech.2010.01.114,2010
Photocatalytically improved azo dye reduction in a microbial fuel cell with rutile-cathode,174,10.1016/j.biortech.2009.11.107,2010
Assessment upon azo dye decolorization and bioelectricity generation by Proteus hauseri,175,10.1016/j.biortech.2010.01.133,2010
Further treatment of decolorization liquid of azo dye coupled with increased power production using microbial fuel cell equipped with an aerobic biocathode,176,10.1016/j.watres.2010.07.059,2011
Enlargement of anode for enhanced simultaneous azo dye decolorization and power output in air-cathode microbial fuel cell,177,10.1007/s10529-012-1002-8,2012
Enhanced bio-decolourisation of acid orange 7 by Shewanellaoneidensis through co-metabolism in a microbial fuel cell,178,10.1016/j.ibiod.2012.04.010,2012
Microbial fuel cells for azo dye treatment with electricity generation: A review,179,10.1016/j.biortech.2012.12.063,2013
Studies on the biodegradation of two different azo dyes in bioelectrochemical systems,180,10.1039/C5NJ00541H,2015
"Up-flow constructed wetland-microbial fuel cell for azo dye, saline, nitrate remediation and bioelectricity generation: From waste to energy approach",181,10.1016/j.biortech.2018.06.035,2018
Applications of graphene-modified electrodes in microbial fuel cells,182,10.3390/ma9100807,2016
Electrochemistry and microbiology of microbial fuel cells treating marine sediments polluted with heavy metals,183,10.1039/C8RA01711E,2018
"Microbial fuel cell is emerging as a versatile technology: A review on its possible applications, challenges and strategies to improve the performances",184,10.1002/er.3780,2018
An overview of electrode materials in microbial fuel cells,185,10.1016/j.jpowsour.2011.01.012,2011
Challenges in the application of microbial fuel cells to wastewater treatment and energy production: A mini review,186,10.1016/j.scitotenv.2018.05.136,2018
